epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783168733.931960,2026-07-04 20:38:53.931
1,2,E1_静息1,1783168733.931960,2026-07-04 20:38:53.931
1,3,E1_想象吞咽1,1783168738.943414,2026-07-04 20:38:58.943
2,4,E2_静息1,1783168743.965324,2026-07-04 20:39:03.965
2,5,E2_想象吞咽1,1783168748.980771,2026-07-04 20:39:08.980
3,6,E3_静息1,1783168753.996727,2026-07-04 20:39:13.996
3,7,E3_想象吞咽1,1783168759.014390,2026-07-04 20:39:19.014
4,8,E4_静息1,1783168764.029804,2026-07-04 20:39:24.029
4,9,E4_想象吞咽1,1783168769.048100,2026-07-04 20:39:29.048
5,10,E5_静息1,1783168774.059138,2026-07-04 20:39:34.059
5,11,E5_想象吞咽1,1783168779.080004,2026-07-04 20:39:39.080
6,12,E6_静息1,1783168784.088730,2026-07-04 20:39:44.088
6,13,E6_想象吞咽1,1783168789.107541,2026-07-04 20:39:49.107
7,14,E7_静息1,1783168794.118631,2026-07-04 20:39:54.118
7,15,E7_想象吞咽1,1783168799.138845,2026-07-04 20:39:59.138
8,16,E8_静息1,1783168804.157031,2026-07-04 20:40:04.157
8,17,E8_想象吞咽1,1783168809.173335,2026-07-04 20:40:09.173
9,18,E9_静息1,1783168814.189200,2026-07-04 20:40:14.189
9,19,E9_想象吞咽1,1783168819.209876,2026-07-04 20:40:19.209
10,20,E10_静息1,1783168824.229805,2026-07-04 20:40:24.229
10,21,E10_想象吞咽1,1783168829.251773,2026-07-04 20:40:29.251
0,22,实验结束,1783168834.268553,2026-07-04 20:40:34.268
