epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1781939963.136247,2026-06-20 15:19:23.136
1,2,E1_想象吞咽1,1781939967.192871,2026-06-20 15:19:27.192
1,3,E1_含水1,1781939972.207715,2026-06-20 15:19:32.207
1,4,E1_温水吞咽1,1781939978.075708,2026-06-20 15:19:38.075
2,5,E2_实验开始,1781939993.128066,2026-06-20 15:19:53.128
2,6,E2_想象吞咽1,1781939997.161446,2026-06-20 15:19:57.161
2,7,E2_含水1,1781940002.173650,2026-06-20 15:20:02.173
2,8,E2_温水吞咽1,1781940009.803493,2026-06-20 15:20:09.803
3,9,E3_实验开始,1781940024.810390,2026-06-20 15:20:24.810
3,10,E3_想象吞咽1,1781940028.858940,2026-06-20 15:20:28.858
3,11,E3_含水1,1781940033.870925,2026-06-20 15:20:33.870
3,12,E3_温水吞咽1,1781940040.841209,2026-06-20 15:20:40.841
4,13,E4_实验开始,1781940055.891659,2026-06-20 15:20:55.891
4,14,E4_想象吞咽1,1781940059.938894,2026-06-20 15:20:59.938
4,15,E4_含水1,1781940064.972041,2026-06-20 15:21:04.972
4,16,E4_温水吞咽1,1781940072.418068,2026-06-20 15:21:12.418
5,17,E5_实验开始,1781940087.424903,2026-06-20 15:21:27.424
5,18,E5_想象吞咽1,1781940091.433110,2026-06-20 15:21:31.433
5,19,E5_含水1,1781940096.477392,2026-06-20 15:21:36.477
5,20,E5_温水吞咽1,1781940104.754394,2026-06-20 15:21:44.754
6,21,E6_实验开始,1781940119.762949,2026-06-20 15:21:59.762
6,22,E6_想象吞咽1,1781940123.768139,2026-06-20 15:22:03.768
6,23,E6_含水1,1781940128.816653,2026-06-20 15:22:08.816
6,24,E6_温水吞咽1,1781940135.834780,2026-06-20 15:22:15.834
7,25,E7_实验开始,1781940150.861409,2026-06-20 15:22:30.861
7,26,E7_想象吞咽1,1781940154.897414,2026-06-20 15:22:34.897
7,27,E7_含水1,1781940159.916761,2026-06-20 15:22:39.916
7,28,E7_温水吞咽1,1781940167.309693,2026-06-20 15:22:47.309
8,29,E8_实验开始,1781940182.336028,2026-06-20 15:23:02.336
8,30,E8_想象吞咽1,1781940186.368918,2026-06-20 15:23:06.368
8,31,E8_含水1,1781940191.386704,2026-06-20 15:23:11.386
8,32,E8_温水吞咽1,1781940198.358512,2026-06-20 15:23:18.358
9,33,E9_实验开始,1781940213.382538,2026-06-20 15:23:33.382
9,34,E9_想象吞咽1,1781940217.411430,2026-06-20 15:23:37.411
9,35,E9_含水1,1781940222.434014,2026-06-20 15:23:42.434
9,36,E9_温水吞咽1,1781940237.337876,2026-06-20 15:23:57.337
10,37,E10_实验开始,1781940252.370642,2026-06-20 15:24:12.370
10,38,E10_想象吞咽1,1781940256.395422,2026-06-20 15:24:16.395
10,39,E10_含水1,1781940261.412945,2026-06-20 15:24:21.412
10,40,E10_温水吞咽1,1781940267.277426,2026-06-20 15:24:27.277
0,41,实验结束,1781940282.305056,2026-06-20 15:24:42.305
