epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1781942356.246195,2026-06-20 15:59:16.246
1,2,E1_想象吞咽1,1781942360.251313,2026-06-20 15:59:20.251
1,3,E1_含水1,1781942365.260683,2026-06-20 15:59:25.260
1,4,E1_温水吞咽1,1781942373.425848,2026-06-20 15:59:33.425
2,5,E2_实验开始,1781942388.434509,2026-06-20 15:59:48.434
2,6,E2_想象吞咽1,1781942392.483615,2026-06-20 15:59:52.483
2,7,E2_含水1,1781942397.500069,2026-06-20 15:59:57.500
2,8,E2_温水吞咽1,1781942405.049677,2026-06-20 16:00:05.049
3,9,E3_实验开始,1781942420.100811,2026-06-20 16:00:20.100
3,10,E3_想象吞咽1,1781942424.106841,2026-06-20 16:00:24.106
3,11,E3_含水1,1781942429.124088,2026-06-20 16:00:29.124
3,12,E3_温水吞咽1,1781942436.163903,2026-06-20 16:00:36.163
4,13,E4_实验开始,1781942451.193682,2026-06-20 16:00:51.193
4,14,E4_想象吞咽1,1781942455.196077,2026-06-20 16:00:55.196
4,15,E4_含水1,1781942460.212802,2026-06-20 16:01:00.212
4,16,E4_温水吞咽1,1781942467.258139,2026-06-20 16:01:07.258
5,17,E5_实验开始,1781942482.293551,2026-06-20 16:01:22.293
5,18,E5_想象吞咽1,1781942486.341528,2026-06-20 16:01:26.341
5,19,E5_含水1,1781942491.363674,2026-06-20 16:01:31.363
5,20,E5_温水吞咽1,1781942498.447922,2026-06-20 16:01:38.447
6,21,E6_实验开始,1781942513.478095,2026-06-20 16:01:53.478
6,22,E6_想象吞咽1,1781942517.523151,2026-06-20 16:01:57.523
6,23,E6_含水1,1781942522.532452,2026-06-20 16:02:02.532
6,24,E6_温水吞咽1,1781942529.773808,2026-06-20 16:02:09.773
7,25,E7_实验开始,1781942544.782363,2026-06-20 16:02:24.782
7,26,E7_想象吞咽1,1781942548.789170,2026-06-20 16:02:28.789
7,27,E7_含水1,1781942553.803690,2026-06-20 16:02:33.803
7,28,E7_温水吞咽1,1781942561.964755,2026-06-20 16:02:41.964
8,29,E8_实验开始,1781942577.001745,2026-06-20 16:02:57.001
8,30,E8_想象吞咽1,1781942581.053187,2026-06-20 16:03:01.053
8,31,E8_含水1,1781942586.073518,2026-06-20 16:03:06.073
8,32,E8_温水吞咽1,1781942593.707000,2026-06-20 16:03:13.707
9,33,E9_实验开始,1781942608.749677,2026-06-20 16:03:28.749
9,34,E9_想象吞咽1,1781942612.800063,2026-06-20 16:03:32.800
9,35,E9_含水1,1781942617.822100,2026-06-20 16:03:37.822
9,36,E9_温水吞咽1,1781942624.161427,2026-06-20 16:03:44.161
10,37,E10_实验开始,1781942639.213609,2026-06-20 16:03:59.213
10,38,E10_想象吞咽1,1781942643.262968,2026-06-20 16:04:03.262
10,39,E10_含水1,1781942648.279056,2026-06-20 16:04:08.279
10,40,E10_温水吞咽1,1781942655.120856,2026-06-20 16:04:15.120
0,41,实验结束,1781942670.163239,2026-06-20 16:04:30.163
