epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783156638.578044,2026-07-04 17:17:18.578
1,2,E1_静息1,1783156638.578044,2026-07-04 17:17:18.578
1,3,E1_想象吞咽1,1783156643.631473,2026-07-04 17:17:23.631
2,4,E2_静息1,1783156648.680080,2026-07-04 17:17:28.680
2,5,E2_想象吞咽1,1783156653.724904,2026-07-04 17:17:33.724
3,6,E3_静息1,1783156658.778132,2026-07-04 17:17:38.778
3,7,E3_想象吞咽1,1783156663.821631,2026-07-04 17:17:43.821
4,8,E4_静息1,1783156668.872130,2026-07-04 17:17:48.872
4,9,E4_想象吞咽1,1783156673.921791,2026-07-04 17:17:53.921
5,10,E5_静息1,1783156678.974883,2026-07-04 17:17:58.974
5,11,E5_想象吞咽1,1783156683.984403,2026-07-04 17:18:03.984
6,12,E6_静息1,1783156689.031432,2026-07-04 17:18:09.031
6,13,E6_想象吞咽1,1783156694.077697,2026-07-04 17:18:14.077
7,14,E7_静息1,1783156699.118575,2026-07-04 17:18:19.118
7,15,E7_想象吞咽1,1783156704.170375,2026-07-04 17:18:24.170
8,16,E8_静息1,1783156709.214738,2026-07-04 17:18:29.214
8,17,E8_想象吞咽1,1783156714.259669,2026-07-04 17:18:34.259
9,18,E9_静息1,1783156719.302716,2026-07-04 17:18:39.302
9,19,E9_想象吞咽1,1783156724.352058,2026-07-04 17:18:44.352
10,20,E10_静息1,1783156729.404117,2026-07-04 17:18:49.404
10,21,E10_想象吞咽1,1783156734.446729,2026-07-04 17:18:54.446
0,22,实验结束,1783156739.497284,2026-07-04 17:18:59.497
