epoch,event_index,event_name,timestamp_sec,system_time,intent_detected,confidence,detector_mode,controller_action
1,1,E1_想象吞咽,1781931744.512092,2026-06-20 13:02:24.512,1,1.000000,cue,placeholder_triggered
2,2,E2_想象吞咽,1781931751.587713,2026-06-20 13:02:31.587,1,1.000000,cue,placeholder_triggered
