epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1781923546.608129,2026-06-20 10:45:46.608
1,2,E1_静息1,1781923552.261530,2026-06-20 10:45:52.261
1,3,E1_想象吞咽1,1781923558.782776,2026-06-20 10:45:58.782
1,4,E1_静息2,1781923565.165212,2026-06-20 10:46:05.165
1,5,E1_含水1,1781923571.677018,2026-06-20 10:46:11.677
1,6,E1_温水吞咽1,1781923582.844019,2026-06-20 10:46:22.844
1,7,E1_实验结束,1781923599.190907,2026-06-20 10:46:39.190
2,8,E2_实验开始,1781923604.507703,2026-06-20 10:46:44.507
2,9,E2_静息1,1781923610.179138,2026-06-20 10:46:50.179
2,10,E2_想象吞咽1,1781923616.695845,2026-06-20 10:46:56.695
2,11,E2_静息2,1781923623.010720,2026-06-20 10:47:03.010
2,12,E2_含水1,1781923629.563285,2026-06-20 10:47:09.563
2,13,E2_温水吞咽1,1781923638.236042,2026-06-20 10:47:18.236
2,14,E2_实验结束,1781923654.597378,2026-06-20 10:47:34.597
3,15,E3_实验开始,1781923659.936440,2026-06-20 10:47:39.936
3,16,E3_静息1,1781923665.583690,2026-06-20 10:47:45.583
3,17,E3_想象吞咽1,1781923672.091770,2026-06-20 10:47:52.091
3,18,E3_静息2,1781923678.400816,2026-06-20 10:47:58.400
3,19,E3_含水1,1781923684.910430,2026-06-20 10:48:04.910
3,20,E3_温水吞咽1,1781923692.422032,2026-06-20 10:48:12.422
3,21,E3_实验结束,1781923708.754134,2026-06-20 10:48:28.754
4,22,E4_实验开始,1781923714.097766,2026-06-20 10:48:34.097
4,23,E4_静息1,1781923719.742501,2026-06-20 10:48:39.742
4,24,E4_想象吞咽1,1781923726.255378,2026-06-20 10:48:46.255
4,25,E4_静息2,1781923732.586783,2026-06-20 10:48:52.586
4,26,E4_含水1,1781923739.100983,2026-06-20 10:48:59.100
4,27,E4_温水吞咽1,1781923750.441836,2026-06-20 10:49:10.441
4,28,E4_实验结束,1781923766.754881,2026-06-20 10:49:26.754
5,29,E5_实验开始,1781923772.091438,2026-06-20 10:49:32.091
5,30,E5_静息1,1781923777.756047,2026-06-20 10:49:37.756
5,31,E5_想象吞咽1,1781923784.310925,2026-06-20 10:49:44.310
5,32,E5_静息2,1781923790.632294,2026-06-20 10:49:50.632
5,33,E5_含水1,1781923797.140735,2026-06-20 10:49:57.140
5,34,E5_温水吞咽1,1781923803.743889,2026-06-20 10:50:03.743
5,35,E5_实验结束,1781923820.092242,2026-06-20 10:50:20.092
6,36,E6_实验开始,1781923825.428580,2026-06-20 10:50:25.428
6,37,E6_静息1,1781923831.048885,2026-06-20 10:50:31.048
6,38,E6_想象吞咽1,1781923837.565460,2026-06-20 10:50:37.565
6,39,E6_静息2,1781923843.891616,2026-06-20 10:50:43.891
6,40,E6_含水1,1781923850.402154,2026-06-20 10:50:50.402
6,41,E6_温水吞咽1,1781923857.670173,2026-06-20 10:50:57.670
6,42,E6_实验结束,1781923873.993667,2026-06-20 10:51:13.993
7,43,E7_实验开始,1781923879.318655,2026-06-20 10:51:19.318
7,44,E7_静息1,1781923884.971640,2026-06-20 10:51:24.971
7,45,E7_想象吞咽1,1781923891.512175,2026-06-20 10:51:31.512
7,46,E7_静息2,1781923897.846195,2026-06-20 10:51:37.846
7,47,E7_含水1,1781923904.396010,2026-06-20 10:51:44.396
7,48,E7_温水吞咽1,1781923919.383334,2026-06-20 10:51:59.383
7,49,E7_实验结束,1781923935.715937,2026-06-20 10:52:15.715
8,50,E8_实验开始,1781923941.062987,2026-06-20 10:52:21.062
8,51,E8_静息1,1781923946.717970,2026-06-20 10:52:26.717
8,52,E8_想象吞咽1,1781923953.226912,2026-06-20 10:52:33.226
8,53,E8_静息2,1781923959.552569,2026-06-20 10:52:39.552
8,54,E8_含水1,1781923966.065594,2026-06-20 10:52:46.065
8,55,E8_温水吞咽1,1781923979.492765,2026-06-20 10:52:59.492
8,56,E8_实验结束,1781923995.822977,2026-06-20 10:53:15.822
9,57,E9_实验开始,1781924001.167733,2026-06-20 10:53:21.167
9,58,E9_静息1,1781924006.818260,2026-06-20 10:53:26.818
9,59,E9_想象吞咽1,1781924013.373716,2026-06-20 10:53:33.373
9,60,E9_静息2,1781924019.706887,2026-06-20 10:53:39.706
9,61,E9_含水1,1781924026.213384,2026-06-20 10:53:46.213
9,62,E9_温水吞咽1,1781924034.080315,2026-06-20 10:53:54.080
9,63,E9_实验结束,1781924050.426697,2026-06-20 10:54:10.426
10,64,E10_实验开始,1781924055.770763,2026-06-20 10:54:15.770
10,65,E10_静息1,1781924061.441581,2026-06-20 10:54:21.441
10,66,E10_想象吞咽1,1781924067.943106,2026-06-20 10:54:27.943
10,67,E10_静息2,1781924074.310997,2026-06-20 10:54:34.310
10,68,E10_含水1,1781924080.834128,2026-06-20 10:54:40.834
10,69,E10_温水吞咽1,1781924089.004298,2026-06-20 10:54:49.004
10,70,E10_实验结束,1781924105.345667,2026-06-20 10:55:05.345
