epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783163748.751415,2026-07-04 19:15:48.751
1,2,E1_静息1,1783163748.751415,2026-07-04 19:15:48.751
1,3,E1_想象吞咽1,1783163753.791327,2026-07-04 19:15:53.791
2,4,E2_静息1,1783163758.843225,2026-07-04 19:15:58.843
2,5,E2_想象吞咽1,1783163763.889269,2026-07-04 19:16:03.889
3,6,E3_静息1,1783163768.940095,2026-07-04 19:16:08.940
3,7,E3_想象吞咽1,1783163773.974723,2026-07-04 19:16:13.974
4,8,E4_静息1,1783163779.019365,2026-07-04 19:16:19.019
4,9,E4_想象吞咽1,1783163784.052488,2026-07-04 19:16:24.052
5,10,E5_静息1,1783163789.095813,2026-07-04 19:16:29.095
5,11,E5_想象吞咽1,1783163794.124282,2026-07-04 19:16:34.124
6,12,E6_静息1,1783163799.176270,2026-07-04 19:16:39.176
6,13,E6_想象吞咽1,1783163804.207635,2026-07-04 19:16:44.207
7,14,E7_静息1,1783163809.259652,2026-07-04 19:16:49.259
7,15,E7_想象吞咽1,1783163814.296986,2026-07-04 19:16:54.296
8,16,E8_静息1,1783163819.343910,2026-07-04 19:16:59.343
8,17,E8_想象吞咽1,1783163824.375851,2026-07-04 19:17:04.375
9,18,E9_静息1,1783163829.423460,2026-07-04 19:17:09.423
9,19,E9_想象吞咽1,1783163834.455166,2026-07-04 19:17:14.455
10,20,E10_静息1,1783163839.459150,2026-07-04 19:17:19.459
10,21,E10_想象吞咽1,1783163844.489740,2026-07-04 19:17:24.489
0,22,实验结束,1783163849.537038,2026-07-04 19:17:29.537
