epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783157915.385023,2026-07-04 17:38:35.385
1,2,E1_静息1,1783157915.385023,2026-07-04 17:38:35.385
1,3,E1_想象吞咽1,1783157920.393534,2026-07-04 17:38:40.393
2,4,E2_静息1,1783157925.441046,2026-07-04 17:38:45.441
2,5,E2_想象吞咽1,1783157930.495173,2026-07-04 17:38:50.495
3,6,E3_静息1,1783157935.546336,2026-07-04 17:38:55.546
3,7,E3_想象吞咽1,1783157940.595773,2026-07-04 17:39:00.595
4,8,E4_静息1,1783157945.638989,2026-07-04 17:39:05.638
4,9,E4_想象吞咽1,1783157950.646818,2026-07-04 17:39:10.646
5,10,E5_静息1,1783157955.695286,2026-07-04 17:39:15.695
5,11,E5_想象吞咽1,1783157960.745962,2026-07-04 17:39:20.745
6,12,E6_静息1,1783157965.799672,2026-07-04 17:39:25.799
6,13,E6_想象吞咽1,1783157970.851799,2026-07-04 17:39:30.851
7,14,E7_静息1,1783157975.902031,2026-07-04 17:39:35.902
7,15,E7_想象吞咽1,1783157980.949092,2026-07-04 17:39:40.949
8,16,E8_静息1,1783157985.952467,2026-07-04 17:39:45.952
8,17,E8_想象吞咽1,1783157990.997714,2026-07-04 17:39:50.997
9,18,E9_静息1,1783157996.040068,2026-07-04 17:39:56.040
9,19,E9_想象吞咽1,1783158001.092244,2026-07-04 17:40:01.092
10,20,E10_静息1,1783158006.142087,2026-07-04 17:40:06.142
10,21,E10_想象吞咽1,1783158011.187843,2026-07-04 17:40:11.187
0,22,实验结束,1783158016.235702,2026-07-04 17:40:16.235
