epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1781940318.695072,2026-06-20 15:25:18.695
1,2,E1_静息1,1781940318.695072,2026-06-20 15:25:18.695
1,3,E1_想象吞咽1,1781940323.732172,2026-06-20 15:25:23.732
2,4,E2_静息1,1781940328.789946,2026-06-20 15:25:28.789
2,5,E2_想象吞咽1,1781940333.835133,2026-06-20 15:25:33.835
3,6,E3_静息1,1781940338.855166,2026-06-20 15:25:38.855
3,7,E3_想象吞咽1,1781940343.905506,2026-06-20 15:25:43.905
4,8,E4_静息1,1781940348.922640,2026-06-20 15:25:48.922
4,9,E4_想象吞咽1,1781940353.970590,2026-06-20 15:25:53.970
5,10,E5_静息1,1781940358.987901,2026-06-20 15:25:58.987
5,11,E5_想象吞咽1,1781940364.028374,2026-06-20 15:26:04.028
6,12,E6_静息1,1781940369.040547,2026-06-20 15:26:09.040
6,13,E6_想象吞咽1,1781940374.088193,2026-06-20 15:26:14.088
7,14,E7_静息1,1781940379.104929,2026-06-20 15:26:19.104
7,15,E7_想象吞咽1,1781940384.158963,2026-06-20 15:26:24.158
8,16,E8_静息1,1781940389.172832,2026-06-20 15:26:29.172
8,17,E8_想象吞咽1,1781940394.214241,2026-06-20 15:26:34.214
9,18,E9_静息1,1781940399.230296,2026-06-20 15:26:39.230
9,19,E9_想象吞咽1,1781940404.266381,2026-06-20 15:26:44.266
10,20,E10_静息1,1781940409.287047,2026-06-20 15:26:49.287
10,21,E10_想象吞咽1,1781940414.335613,2026-06-20 15:26:54.335
11,22,E11_静息1,1781940419.350032,2026-06-20 15:26:59.350
11,23,E11_想象吞咽1,1781940424.395757,2026-06-20 15:27:04.395
12,24,E12_静息1,1781940429.415090,2026-06-20 15:27:09.415
12,25,E12_想象吞咽1,1781940434.457204,2026-06-20 15:27:14.457
13,26,E13_静息1,1781940439.467284,2026-06-20 15:27:19.467
13,27,E13_想象吞咽1,1781940444.514566,2026-06-20 15:27:24.514
14,28,E14_静息1,1781940449.525594,2026-06-20 15:27:29.525
14,29,E14_想象吞咽1,1781940454.578511,2026-06-20 15:27:34.578
15,30,E15_静息1,1781940459.602407,2026-06-20 15:27:39.602
15,31,E15_想象吞咽1,1781940464.654978,2026-06-20 15:27:44.654
16,32,E16_静息1,1781940469.673610,2026-06-20 15:27:49.673
