epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1781937593.825263,2026-06-20 14:39:53.825
1,2,E1_想象吞咽1,1781937599.460753,2026-06-20 14:39:59.460
1,3,E1_含水1,1781937605.792654,2026-06-20 14:40:05.792
1,4,E1_温水吞咽1,1781937612.917433,2026-06-20 14:40:12.917
2,5,E2_实验开始,1781937629.260990,2026-06-20 14:40:29.260
2,6,E2_想象吞咽1,1781937634.911786,2026-06-20 14:40:34.911
2,7,E2_含水1,1781937641.261689,2026-06-20 14:40:41.261
2,8,E2_温水吞咽1,1781937647.575685,2026-06-20 14:40:47.575
3,9,E3_实验开始,1781937664.434069,2026-06-20 14:41:04.434
3,10,E3_想象吞咽1,1781937670.083702,2026-06-20 14:41:10.083
3,11,E3_含水1,1781937676.396435,2026-06-20 14:41:16.396
3,12,E3_温水吞咽1,1781937682.685464,2026-06-20 14:41:22.685
4,13,E4_实验开始,1781937699.004479,2026-06-20 14:41:39.004
4,14,E4_想象吞咽1,1781937704.647901,2026-06-20 14:41:44.647
4,15,E4_含水1,1781937710.982264,2026-06-20 14:41:50.982
4,16,E4_温水吞咽1,1781937716.585061,2026-06-20 14:41:56.585
5,17,E5_实验开始,1781937732.900036,2026-06-20 14:42:12.900
5,18,E5_想象吞咽1,1781937738.508052,2026-06-20 14:42:18.508
5,19,E5_含水1,1781937744.843634,2026-06-20 14:42:24.843
5,20,E5_温水吞咽1,1781937750.430505,2026-06-20 14:42:30.430
6,21,E6_实验开始,1781937766.754668,2026-06-20 14:42:46.754
6,22,E6_想象吞咽1,1781937772.402800,2026-06-20 14:42:52.402
6,23,E6_含水1,1781937778.740737,2026-06-20 14:42:58.740
6,24,E6_温水吞咽1,1781937784.283445,2026-06-20 14:43:04.283
7,25,E7_实验开始,1781937800.602846,2026-06-20 14:43:20.602
7,26,E7_想象吞咽1,1781937806.247932,2026-06-20 14:43:26.247
7,27,E7_含水1,1781937812.585362,2026-06-20 14:43:32.585
7,28,E7_温水吞咽1,1781937818.675505,2026-06-20 14:43:38.675
8,29,E8_实验开始,1781937835.002011,2026-06-20 14:43:55.002
8,30,E8_想象吞咽1,1781937840.607910,2026-06-20 14:44:00.607
8,31,E8_含水1,1781937846.932713,2026-06-20 14:44:06.932
8,32,E8_温水吞咽1,1781937852.819311,2026-06-20 14:44:12.819
9,33,E9_实验开始,1781937869.171860,2026-06-20 14:44:29.171
9,34,E9_想象吞咽1,1781937874.786387,2026-06-20 14:44:34.786
9,35,E9_含水1,1781937881.099092,2026-06-20 14:44:41.099
9,36,E9_温水吞咽1,1781937887.873847,2026-06-20 14:44:47.873
10,37,E10_实验开始,1781937904.218280,2026-06-20 14:45:04.218
10,38,E10_想象吞咽1,1781937909.862730,2026-06-20 14:45:09.862
10,39,E10_含水1,1781937916.182778,2026-06-20 14:45:16.182
10,40,E10_温水吞咽1,1781937921.964706,2026-06-20 14:45:21.964
-1,42,实验中止,1781937940.871459,2026-06-20 14:45:40.871
