epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1781944852.318102,2026-06-20 16:40:52.318
1,2,E1_静息1,1781944852.318102,2026-06-20 16:40:52.318
1,3,E1_想象吞咽1,1781944857.333281,2026-06-20 16:40:57.333
2,4,E2_静息1,1781944862.338653,2026-06-20 16:41:02.338
2,5,E2_想象吞咽1,1781944867.355124,2026-06-20 16:41:07.355
3,6,E3_静息1,1781944872.373801,2026-06-20 16:41:12.373
3,7,E3_想象吞咽1,1781944877.389137,2026-06-20 16:41:17.389
4,8,E4_静息1,1781944882.408768,2026-06-20 16:41:22.408
4,9,E4_想象吞咽1,1781944887.420858,2026-06-20 16:41:27.420
5,10,E5_静息1,1781944892.438265,2026-06-20 16:41:32.438
5,11,E5_想象吞咽1,1781944897.461070,2026-06-20 16:41:37.461
6,12,E6_静息1,1781944902.476300,2026-06-20 16:41:42.476
6,13,E6_想象吞咽1,1781944907.488884,2026-06-20 16:41:47.488
7,14,E7_静息1,1781944912.505440,2026-06-20 16:41:52.505
7,15,E7_想象吞咽1,1781944917.522368,2026-06-20 16:41:57.522
8,16,E8_静息1,1781944922.533705,2026-06-20 16:42:02.533
8,17,E8_想象吞咽1,1781944927.547446,2026-06-20 16:42:07.547
9,18,E9_静息1,1781944932.560256,2026-06-20 16:42:12.560
9,19,E9_想象吞咽1,1781944937.571912,2026-06-20 16:42:17.571
10,20,E10_静息1,1781944942.585643,2026-06-20 16:42:22.585
10,21,E10_想象吞咽1,1781944947.600532,2026-06-20 16:42:27.600
11,22,E11_静息1,1781944952.607028,2026-06-20 16:42:32.607
11,23,E11_想象吞咽1,1781944957.627383,2026-06-20 16:42:37.627
12,24,E12_静息1,1781944962.640955,2026-06-20 16:42:42.640
12,25,E12_想象吞咽1,1781944967.655377,2026-06-20 16:42:47.655
13,26,E13_静息1,1781944972.671546,2026-06-20 16:42:52.671
13,27,E13_想象吞咽1,1781944977.693964,2026-06-20 16:42:57.693
14,28,E14_静息1,1781944982.710390,2026-06-20 16:43:02.710
14,29,E14_想象吞咽1,1781944987.735570,2026-06-20 16:43:07.735
15,30,E15_静息1,1781944992.743733,2026-06-20 16:43:12.743
15,31,E15_想象吞咽1,1781944997.761532,2026-06-20 16:43:17.761
16,32,E16_静息1,1781945002.781151,2026-06-20 16:43:22.781
16,33,E16_想象吞咽1,1781945007.793713,2026-06-20 16:43:27.793
17,34,E17_静息1,1781945012.802291,2026-06-20 16:43:32.802
17,35,E17_想象吞咽1,1781945017.820922,2026-06-20 16:43:37.820
18,36,E18_静息1,1781945022.842251,2026-06-20 16:43:42.842
18,37,E18_想象吞咽1,1781945027.865651,2026-06-20 16:43:47.865
19,38,E19_静息1,1781945032.879633,2026-06-20 16:43:52.879
19,39,E19_想象吞咽1,1781945037.892027,2026-06-20 16:43:57.892
20,40,E20_静息1,1781945042.907308,2026-06-20 16:44:02.907
20,41,E20_想象吞咽1,1781945047.924580,2026-06-20 16:44:07.924
21,42,E21_静息1,1781945052.935658,2026-06-20 16:44:12.935
21,43,E21_想象吞咽1,1781945057.956845,2026-06-20 16:44:17.956
22,44,E22_静息1,1781945062.972427,2026-06-20 16:44:22.972
22,45,E22_想象吞咽1,1781945067.984372,2026-06-20 16:44:27.984
23,46,E23_静息1,1781945073.001760,2026-06-20 16:44:33.001
23,47,E23_想象吞咽1,1781945078.018832,2026-06-20 16:44:38.018
24,48,E24_静息1,1781945083.029335,2026-06-20 16:44:43.029
24,49,E24_想象吞咽1,1781945088.044236,2026-06-20 16:44:48.044
25,50,E25_静息1,1781945093.057432,2026-06-20 16:44:53.057
25,51,E25_想象吞咽1,1781945098.073230,2026-06-20 16:44:58.073
