epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783169655.906781,2026-07-04 20:54:15.906
1,2,E1_静息1,1783169655.906781,2026-07-04 20:54:15.906
1,3,E1_想象吞咽1,1783169660.925048,2026-07-04 20:54:20.925
2,4,E2_静息1,1783169665.947045,2026-07-04 20:54:25.947
2,5,E2_想象吞咽1,1783169670.969606,2026-07-04 20:54:30.969
3,6,E3_静息1,1783169675.983231,2026-07-04 20:54:35.983
3,7,E3_想象吞咽1,1783169680.997206,2026-07-04 20:54:40.997
4,8,E4_静息1,1783169686.015250,2026-07-04 20:54:46.015
4,9,E4_想象吞咽1,1783169691.032288,2026-07-04 20:54:51.032
5,10,E5_静息1,1783169696.049914,2026-07-04 20:54:56.049
5,11,E5_想象吞咽1,1783169701.068403,2026-07-04 20:55:01.068
6,12,E6_静息1,1783169706.083236,2026-07-04 20:55:06.083
6,13,E6_想象吞咽1,1783169711.102243,2026-07-04 20:55:11.102
7,14,E7_静息1,1783169716.124007,2026-07-04 20:55:16.124
7,15,E7_想象吞咽1,1783169721.144894,2026-07-04 20:55:21.144
8,16,E8_静息1,1783169726.155499,2026-07-04 20:55:26.155
8,17,E8_想象吞咽1,1783169731.173173,2026-07-04 20:55:31.173
9,18,E9_静息1,1783169736.189901,2026-07-04 20:55:36.189
9,19,E9_想象吞咽1,1783169741.198927,2026-07-04 20:55:41.198
10,20,E10_静息1,1783169746.219327,2026-07-04 20:55:46.219
10,21,E10_想象吞咽1,1783169751.249249,2026-07-04 20:55:51.249
0,22,实验结束,1783169756.265474,2026-07-04 20:55:56.265
