epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1783154809.632428,2026-07-04 16:46:49.632
1,2,E1_静息1,1783154813.689417,2026-07-04 16:46:53.689
1,3,E1_想象吞咽1,1783154818.739477,2026-07-04 16:46:58.739
1,4,E1_静息2,1783154823.790682,2026-07-04 16:47:03.790
1,5,E1_含水1,1783154828.840806,2026-07-04 16:47:08.840
1,6,E1_温水吞咽1,1783154846.349186,2026-07-04 16:47:26.349
1,7,E1_实验结束,1783154861.399592,2026-07-04 16:47:41.399
2,8,E2_实验开始,1783154865.449295,2026-07-04 16:47:45.449
2,9,E2_静息1,1783154869.488072,2026-07-04 16:47:49.488
2,10,E2_想象吞咽1,1783154874.534873,2026-07-04 16:47:54.534
2,11,E2_静息2,1783154879.578653,2026-07-04 16:47:59.578
2,12,E2_含水1,1783154884.625166,2026-07-04 16:48:04.625
2,13,E2_温水吞咽1,1783154895.874047,2026-07-04 16:48:15.874
2,14,E2_实验结束,1783154910.905829,2026-07-04 16:48:30.905
3,15,E3_实验开始,1783154914.944525,2026-07-04 16:48:34.944
3,16,E3_静息1,1783154918.989083,2026-07-04 16:48:38.989
3,17,E3_想象吞咽1,1783154924.038391,2026-07-04 16:48:44.038
3,18,E3_静息2,1783154929.080000,2026-07-04 16:48:49.080
3,19,E3_含水1,1783154934.126535,2026-07-04 16:48:54.126
3,20,E3_温水吞咽1,1783154948.607455,2026-07-04 16:49:08.607
3,21,E3_实验结束,1783154963.627824,2026-07-04 16:49:23.627
4,22,E4_实验开始,1783154967.667621,2026-07-04 16:49:27.667
4,23,E4_静息1,1783154971.711990,2026-07-04 16:49:31.711
4,24,E4_想象吞咽1,1783154976.762892,2026-07-04 16:49:36.762
4,25,E4_静息2,1783154981.803533,2026-07-04 16:49:41.803
4,26,E4_含水1,1783154986.849044,2026-07-04 16:49:46.849
4,27,E4_温水吞咽1,1783154995.636699,2026-07-04 16:49:55.636
4,28,E4_实验结束,1783155010.668958,2026-07-04 16:50:10.668
5,29,E5_实验开始,1783155014.705285,2026-07-04 16:50:14.705
5,30,E5_静息1,1783155018.744217,2026-07-04 16:50:18.744
5,31,E5_想象吞咽1,1783155023.746641,2026-07-04 16:50:23.746
5,32,E5_静息2,1783155028.793003,2026-07-04 16:50:28.793
5,33,E5_含水1,1783155033.839628,2026-07-04 16:50:33.839
5,34,E5_温水吞咽1,1783155043.588758,2026-07-04 16:50:43.588
5,35,E5_实验结束,1783155058.629875,2026-07-04 16:50:58.629
6,36,E6_实验开始,1783155062.671374,2026-07-04 16:51:02.671
6,37,E6_静息1,1783155066.710882,2026-07-04 16:51:06.710
6,38,E6_想象吞咽1,1783155071.758607,2026-07-04 16:51:11.758
6,39,E6_静息2,1783155076.800238,2026-07-04 16:51:16.800
6,40,E6_含水1,1783155081.849231,2026-07-04 16:51:21.849
6,41,E6_温水吞咽1,1783155090.234671,2026-07-04 16:51:30.234
6,42,E6_实验结束,1783155105.261546,2026-07-04 16:51:45.261
7,43,E7_实验开始,1783155109.302269,2026-07-04 16:51:49.302
7,44,E7_静息1,1783155113.352532,2026-07-04 16:51:53.352
7,45,E7_想象吞咽1,1783155118.397372,2026-07-04 16:51:58.397
7,46,E7_静息2,1783155123.442002,2026-07-04 16:52:03.442
7,47,E7_含水1,1783155128.486693,2026-07-04 16:52:08.486
7,48,E7_温水吞咽1,1783155137.370620,2026-07-04 16:52:17.370
7,49,E7_实验结束,1783155152.408388,2026-07-04 16:52:32.408
8,50,E8_实验开始,1783155156.446316,2026-07-04 16:52:36.446
8,51,E8_静息1,1783155160.487045,2026-07-04 16:52:40.487
8,52,E8_想象吞咽1,1783155165.536427,2026-07-04 16:52:45.536
8,53,E8_静息2,1783155170.580732,2026-07-04 16:52:50.580
8,54,E8_含水1,1783155175.625185,2026-07-04 16:52:55.625
8,55,E8_温水吞咽1,1783155183.808123,2026-07-04 16:53:03.808
8,56,E8_实验结束,1783155198.851008,2026-07-04 16:53:18.851
9,57,E9_实验开始,1783155202.898653,2026-07-04 16:53:22.898
9,58,E9_静息1,1783155206.942114,2026-07-04 16:53:26.942
9,59,E9_想象吞咽1,1783155211.983799,2026-07-04 16:53:31.983
9,60,E9_静息2,1783155217.027563,2026-07-04 16:53:37.027
9,61,E9_含水1,1783155222.071890,2026-07-04 16:53:42.071
9,62,E9_温水吞咽1,1783155231.510638,2026-07-04 16:53:51.510
9,63,E9_实验结束,1783155246.521284,2026-07-04 16:54:06.521
10,64,E10_实验开始,1783155250.556247,2026-07-04 16:54:10.556
10,65,E10_静息1,1783155254.597821,2026-07-04 16:54:14.597
10,66,E10_想象吞咽1,1783155259.640871,2026-07-04 16:54:19.640
10,67,E10_静息2,1783155264.681859,2026-07-04 16:54:24.681
10,68,E10_含水1,1783155269.727694,2026-07-04 16:54:29.727
10,69,E10_温水吞咽1,1783155279.267968,2026-07-04 16:54:39.267
10,70,E10_实验结束,1783155294.297894,2026-07-04 16:54:54.297
