epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1781944462.548676,2026-06-20 16:34:22.548
1,2,E1_想象吞咽1,1781944466.600349,2026-06-20 16:34:26.600
1,3,E1_含水1,1781944471.624224,2026-06-20 16:34:31.624
1,4,E1_温水吞咽1,1781944479.526029,2026-06-20 16:34:39.526
2,5,E2_实验开始,1781944494.535465,2026-06-20 16:34:54.535
2,6,E2_想象吞咽1,1781944498.545590,2026-06-20 16:34:58.545
2,7,E2_含水1,1781944503.564245,2026-06-20 16:35:03.564
2,8,E2_温水吞咽1,1781944514.703264,2026-06-20 16:35:14.703
3,9,E3_实验开始,1781944529.744245,2026-06-20 16:35:29.744
3,10,E3_想象吞咽1,1781944533.750408,2026-06-20 16:35:33.750
3,11,E3_含水1,1781944538.770248,2026-06-20 16:35:38.770
3,12,E3_温水吞咽1,1781944547.278009,2026-06-20 16:35:47.278
4,13,E4_实验开始,1781944562.320536,2026-06-20 16:36:02.320
4,14,E4_想象吞咽1,1781944566.328135,2026-06-20 16:36:06.328
4,15,E4_含水1,1781944571.347285,2026-06-20 16:36:11.347
4,16,E4_温水吞咽1,1781944579.357213,2026-06-20 16:36:19.357
5,17,E5_实验开始,1781944594.389208,2026-06-20 16:36:34.389
5,18,E5_想象吞咽1,1781944598.443878,2026-06-20 16:36:38.443
5,19,E5_含水1,1781944603.461637,2026-06-20 16:36:43.461
5,20,E5_温水吞咽1,1781944611.516825,2026-06-20 16:36:51.516
6,21,E6_实验开始,1781944626.564636,2026-06-20 16:37:06.564
6,22,E6_想象吞咽1,1781944630.580762,2026-06-20 16:37:10.580
6,23,E6_含水1,1781944635.592809,2026-06-20 16:37:15.592
6,24,E6_温水吞咽1,1781944644.611927,2026-06-20 16:37:24.611
7,25,E7_实验开始,1781944659.649553,2026-06-20 16:37:39.649
7,26,E7_想象吞咽1,1781944663.662574,2026-06-20 16:37:43.662
7,27,E7_含水1,1781944668.672991,2026-06-20 16:37:48.672
7,28,E7_温水吞咽1,1781944676.786491,2026-06-20 16:37:56.786
8,29,E8_实验开始,1781944691.825507,2026-06-20 16:38:11.825
8,30,E8_想象吞咽1,1781944695.832460,2026-06-20 16:38:15.832
8,31,E8_含水1,1781944700.850750,2026-06-20 16:38:20.850
8,32,E8_温水吞咽1,1781944709.670041,2026-06-20 16:38:29.670
9,33,E9_实验开始,1781944724.715274,2026-06-20 16:38:44.715
9,34,E9_想象吞咽1,1781944728.770960,2026-06-20 16:38:48.770
9,35,E9_含水1,1781944733.780462,2026-06-20 16:38:53.780
9,36,E9_温水吞咽1,1781944742.394712,2026-06-20 16:39:02.394
10,37,E10_实验开始,1781944757.435283,2026-06-20 16:39:17.435
10,38,E10_想象吞咽1,1781944761.441919,2026-06-20 16:39:21.441
10,39,E10_含水1,1781944766.463056,2026-06-20 16:39:26.463
10,40,E10_温水吞咽1,1781944776.236739,2026-06-20 16:39:36.236
0,41,实验结束,1781944791.288195,2026-06-20 16:39:51.288
