epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783160098.700878,2026-07-04 18:14:58.700
1,2,E1_静息1,1783160098.700878,2026-07-04 18:14:58.700
1,3,E1_想象吞咽1,1783160103.752056,2026-07-04 18:15:03.752
2,4,E2_静息1,1783160108.800595,2026-07-04 18:15:08.800
2,5,E2_想象吞咽1,1783160113.843577,2026-07-04 18:15:13.843
3,6,E3_静息1,1783160118.882896,2026-07-04 18:15:18.882
3,7,E3_想象吞咽1,1783160123.930993,2026-07-04 18:15:23.930
4,8,E4_静息1,1783160128.934479,2026-07-04 18:15:28.934
4,9,E4_想象吞咽1,1783160133.986778,2026-07-04 18:15:33.986
5,10,E5_静息1,1783160138.994828,2026-07-04 18:15:38.994
5,11,E5_想象吞咽1,1783160143.998792,2026-07-04 18:15:43.998
6,12,E6_静息1,1783160149.050149,2026-07-04 18:15:49.050
6,13,E6_想象吞咽1,1783160154.097413,2026-07-04 18:15:54.097
7,14,E7_静息1,1783160159.101743,2026-07-04 18:15:59.101
7,15,E7_想象吞咽1,1783160164.106761,2026-07-04 18:16:04.106
8,16,E8_静息1,1783160169.108964,2026-07-04 18:16:09.108
8,17,E8_想象吞咽1,1783160174.157779,2026-07-04 18:16:14.157
9,18,E9_静息1,1783160179.160582,2026-07-04 18:16:19.160
9,19,E9_想象吞咽1,1783160184.211405,2026-07-04 18:16:24.211
10,20,E10_静息1,1783160189.263661,2026-07-04 18:16:29.263
10,21,E10_想象吞咽1,1783160194.310038,2026-07-04 18:16:34.310
0,22,实验结束,1783160199.362067,2026-07-04 18:16:39.362
