epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783153853.748447,2026-07-04 16:30:53.748
1,2,E1_静息1,1783153853.749557,2026-07-04 16:30:53.749
1,3,E1_想象吞咽1,1783153858.796871,2026-07-04 16:30:58.796
2,4,E2_静息1,1783153863.847553,2026-07-04 16:31:03.847
2,5,E2_想象吞咽1,1783153868.851221,2026-07-04 16:31:08.851
3,6,E3_静息1,1783153873.903075,2026-07-04 16:31:13.903
3,7,E3_想象吞咽1,1783153878.906791,2026-07-04 16:31:18.906
4,8,E4_静息1,1783153883.947517,2026-07-04 16:31:23.947
4,9,E4_想象吞咽1,1783153888.990714,2026-07-04 16:31:28.990
5,10,E5_静息1,1783153894.043815,2026-07-04 16:31:34.043
5,11,E5_想象吞咽1,1783153899.091563,2026-07-04 16:31:39.091
6,12,E6_静息1,1783153904.137135,2026-07-04 16:31:44.137
6,13,E6_想象吞咽1,1783153909.179248,2026-07-04 16:31:49.179
7,14,E7_静息1,1783153914.224968,2026-07-04 16:31:54.224
7,15,E7_想象吞咽1,1783153919.267029,2026-07-04 16:31:59.267
8,16,E8_静息1,1783153924.269185,2026-07-04 16:32:04.269
8,17,E8_想象吞咽1,1783153929.312614,2026-07-04 16:32:09.312
9,18,E9_静息1,1783153934.358138,2026-07-04 16:32:14.358
9,19,E9_想象吞咽1,1783153939.400203,2026-07-04 16:32:19.400
10,20,E10_静息1,1783153944.443699,2026-07-04 16:32:24.443
10,21,E10_想象吞咽1,1783153949.493684,2026-07-04 16:32:29.493
0,22,实验结束,1783153954.540344,2026-07-04 16:32:34.540
