epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1783156052.456625,2026-07-04 17:07:32.456
1,2,E1_静息1,1783156056.495216,2026-07-04 17:07:36.495
1,3,E1_想象吞咽1,1783156061.542023,2026-07-04 17:07:41.542
1,4,E1_静息2,1783156066.586668,2026-07-04 17:07:46.586
1,5,E1_含水1,1783156071.633897,2026-07-04 17:07:51.633
1,6,E1_温水吞咽1,1783156079.991548,2026-07-04 17:07:59.991
1,7,E1_实验结束,1783156095.008999,2026-07-04 17:08:15.008
2,8,E2_实验开始,1783156099.048775,2026-07-04 17:08:19.048
2,9,E2_静息1,1783156103.094576,2026-07-04 17:08:23.094
2,10,E2_想象吞咽1,1783156108.143408,2026-07-04 17:08:28.143
2,11,E2_静息2,1783156113.186528,2026-07-04 17:08:33.186
2,12,E2_含水1,1783156118.239458,2026-07-04 17:08:38.239
2,13,E2_温水吞咽1,1783156127.166868,2026-07-04 17:08:47.166
2,14,E2_实验结束,1783156142.185668,2026-07-04 17:09:02.185
3,15,E3_实验开始,1783156146.225520,2026-07-04 17:09:06.225
3,16,E3_静息1,1783156150.269709,2026-07-04 17:09:10.269
3,17,E3_想象吞咽1,1783156155.318394,2026-07-04 17:09:15.318
3,18,E3_静息2,1783156160.363498,2026-07-04 17:09:20.363
3,19,E3_含水1,1783156165.413147,2026-07-04 17:09:25.413
3,20,E3_温水吞咽1,1783156173.438660,2026-07-04 17:09:33.438
3,21,E3_实验结束,1783156188.460991,2026-07-04 17:09:48.460
4,22,E4_实验开始,1783156192.496777,2026-07-04 17:09:52.496
4,23,E4_静息1,1783156196.526921,2026-07-04 17:09:56.526
4,24,E4_想象吞咽1,1783156201.569703,2026-07-04 17:10:01.569
4,25,E4_静息2,1783156206.623450,2026-07-04 17:10:06.623
4,26,E4_含水1,1783156211.667349,2026-07-04 17:10:11.667
4,27,E4_温水吞咽1,1783156222.466379,2026-07-04 17:10:22.466
4,28,E4_实验结束,1783156237.507020,2026-07-04 17:10:37.507
5,29,E5_实验开始,1783156241.546707,2026-07-04 17:10:41.546
5,30,E5_静息1,1783156245.583277,2026-07-04 17:10:45.583
5,31,E5_想象吞咽1,1783156250.587348,2026-07-04 17:10:50.587
5,32,E5_静息2,1783156255.630787,2026-07-04 17:10:55.630
5,33,E5_含水1,1783156260.677477,2026-07-04 17:11:00.677
5,34,E5_温水吞咽1,1783156269.872545,2026-07-04 17:11:09.872
5,35,E5_实验结束,1783156284.908421,2026-07-04 17:11:24.908
6,36,E6_实验开始,1783156288.948570,2026-07-04 17:11:28.948
6,37,E6_静息1,1783156292.984555,2026-07-04 17:11:32.984
6,38,E6_想象吞咽1,1783156298.027832,2026-07-04 17:11:38.027
6,39,E6_静息2,1783156303.073831,2026-07-04 17:11:43.073
6,40,E6_含水1,1783156308.076170,2026-07-04 17:11:48.076
6,41,E6_温水吞咽1,1783156320.233102,2026-07-04 17:12:00.233
6,42,E6_实验结束,1783156335.255051,2026-07-04 17:12:15.255
7,43,E7_实验开始,1783156339.291186,2026-07-04 17:12:19.291
7,44,E7_静息1,1783156343.324366,2026-07-04 17:12:23.324
7,45,E7_想象吞咽1,1783156348.377513,2026-07-04 17:12:28.377
7,46,E7_静息2,1783156353.427745,2026-07-04 17:12:33.427
7,47,E7_含水1,1783156358.470603,2026-07-04 17:12:38.470
7,48,E7_温水吞咽1,1783156367.049662,2026-07-04 17:12:47.049
7,49,E7_实验结束,1783156382.077358,2026-07-04 17:13:02.077
8,50,E8_实验开始,1783156386.116405,2026-07-04 17:13:06.116
8,51,E8_静息1,1783156390.153800,2026-07-04 17:13:10.153
8,52,E8_想象吞咽1,1783156395.157085,2026-07-04 17:13:15.157
8,53,E8_静息2,1783156400.206214,2026-07-04 17:13:20.206
8,54,E8_含水1,1783156405.208965,2026-07-04 17:13:25.208
8,55,E8_温水吞咽1,1783156414.393254,2026-07-04 17:13:34.393
8,56,E8_实验结束,1783156429.411972,2026-07-04 17:13:49.411
9,57,E9_实验开始,1783156433.458049,2026-07-04 17:13:53.458
9,58,E9_静息1,1783156437.493228,2026-07-04 17:13:57.493
9,59,E9_想象吞咽1,1783156442.542151,2026-07-04 17:14:02.542
9,60,E9_静息2,1783156447.590383,2026-07-04 17:14:07.590
9,61,E9_含水1,1783156452.636696,2026-07-04 17:14:12.636
9,62,E9_温水吞咽1,1783156461.967090,2026-07-04 17:14:21.967
9,63,E9_实验结束,1783156476.994169,2026-07-04 17:14:36.994
10,64,E10_实验开始,1783156481.029885,2026-07-04 17:14:41.029
10,65,E10_静息1,1783156485.070000,2026-07-04 17:14:45.069
10,66,E10_想象吞咽1,1783156490.115001,2026-07-04 17:14:50.115
10,67,E10_静息2,1783156495.161072,2026-07-04 17:14:55.161
10,68,E10_含水1,1783156500.207478,2026-07-04 17:15:00.207
10,69,E10_温水吞咽1,1783156511.511296,2026-07-04 17:15:11.511
10,70,E10_实验结束,1783156526.537274,2026-07-04 17:15:26.537
