epoch,event_index,event_name,timestamp_sec,system_time
1,1,E1_实验开始,1782225598.526775,2026-06-23 22:39:58.526
1,2,E1_静息1,1782225602.610738,2026-06-23 22:40:02.610
1,3,E1_想象吞咽1,1782225607.636290,2026-06-23 22:40:07.636
1,4,E1_静息2,1782225612.650042,2026-06-23 22:40:12.650
1,5,E1_含水1,1782225617.702140,2026-06-23 22:40:17.702
1,6,E1_温水吞咽1,1782225666.313527,2026-06-23 22:41:06.313
1,7,E1_实验结束,1782225681.341864,2026-06-23 22:41:21.341
2,8,E2_实验开始,1782225685.394531,2026-06-23 22:41:25.394
2,9,E2_静息1,1782225689.438339,2026-06-23 22:41:29.438
2,10,E2_想象吞咽1,1782225694.489419,2026-06-23 22:41:34.489
-1,12,实验中止,1782225702.983555,2026-06-23 22:41:42.983
