epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783155329.846396,2026-07-04 16:55:29.846
1,2,E1_静息1,1783155329.847397,2026-07-04 16:55:29.847
1,3,E1_想象吞咽1,1783155334.894580,2026-07-04 16:55:34.894
2,4,E2_静息1,1783155339.944585,2026-07-04 16:55:39.944
2,5,E2_想象吞咽1,1783155344.989624,2026-07-04 16:55:44.989
3,6,E3_静息1,1783155350.000182,2026-07-04 16:55:50.000
3,7,E3_想象吞咽1,1783155355.053441,2026-07-04 16:55:55.053
4,8,E4_静息1,1783155360.099165,2026-07-04 16:56:00.099
4,9,E4_想象吞咽1,1783155365.145971,2026-07-04 16:56:05.145
5,10,E5_静息1,1783155370.193107,2026-07-04 16:56:10.193
5,11,E5_想象吞咽1,1783155375.240437,2026-07-04 16:56:15.240
6,12,E6_静息1,1783155380.279905,2026-07-04 16:56:20.279
6,13,E6_想象吞咽1,1783155385.319722,2026-07-04 16:56:25.319
7,14,E7_静息1,1783155390.364972,2026-07-04 16:56:30.364
7,15,E7_想象吞咽1,1783155395.406619,2026-07-04 16:56:35.406
8,16,E8_静息1,1783155400.454303,2026-07-04 16:56:40.454
8,17,E8_想象吞咽1,1783155405.497385,2026-07-04 16:56:45.497
9,18,E9_静息1,1783155410.540479,2026-07-04 16:56:50.540
9,19,E9_想象吞咽1,1783155415.591958,2026-07-04 16:56:55.591
10,20,E10_静息1,1783155420.639884,2026-07-04 16:57:00.639
10,21,E10_想象吞咽1,1783155425.687837,2026-07-04 16:57:05.687
0,22,实验结束,1783155430.731291,2026-07-04 16:57:10.731
