epoch,event_index,event_name,timestamp_sec,system_time
0,1,实验开始,1783159181.703433,2026-07-04 17:59:41.703
1,2,E1_静息1,1783159181.703433,2026-07-04 17:59:41.703
1,3,E1_想象吞咽1,1783159186.753084,2026-07-04 17:59:46.753
2,4,E2_静息1,1783159191.798008,2026-07-04 17:59:51.798
2,5,E2_想象吞咽1,1783159196.841070,2026-07-04 17:59:56.841
3,6,E3_静息1,1783159201.848027,2026-07-04 18:00:01.848
3,7,E3_想象吞咽1,1783159206.896430,2026-07-04 18:00:06.896
4,8,E4_静息1,1783159211.940152,2026-07-04 18:00:11.940
4,9,E4_想象吞咽1,1783159216.989085,2026-07-04 18:00:16.989
5,10,E5_静息1,1783159222.035060,2026-07-04 18:00:22.035
5,11,E5_想象吞咽1,1783159227.081160,2026-07-04 18:00:27.081
6,12,E6_静息1,1783159232.124928,2026-07-04 18:00:32.124
6,13,E6_想象吞咽1,1783159237.167032,2026-07-04 18:00:37.167
7,14,E7_静息1,1783159242.218525,2026-07-04 18:00:42.218
7,15,E7_想象吞咽1,1783159247.263871,2026-07-04 18:00:47.263
8,16,E8_静息1,1783159252.306070,2026-07-04 18:00:52.306
8,17,E8_想象吞咽1,1783159257.356015,2026-07-04 18:00:57.356
9,18,E9_静息1,1783159262.403228,2026-07-04 18:01:02.403
9,19,E9_想象吞咽1,1783159267.408860,2026-07-04 18:01:07.408
10,20,E10_静息1,1783159272.460300,2026-07-04 18:01:12.460
10,21,E10_想象吞咽1,1783159277.508054,2026-07-04 18:01:17.508
0,22,实验结束,1783159282.557019,2026-07-04 18:01:22.557
